sample,signal,definition,horizon,periods,pairs,mean_ic,median_ic,ic_std,hit_rate,hac_t_stat,pvalue,base_signal
orthogonalized,operating_profitability_approx__net_bm,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M,6m,44,2064,0.017875037186576653,0.047720118767183815,0.23610250698664972,0.5909090909090909,0.2734674092031406,0.7844939415402701,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M,12m,38,1673,0.058796315724469084,0.08181818181818182,0.21514172670130152,0.868421052631579,0.8852675525760891,0.37601234588105514,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm_size_liq,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M+size+liquidity,1m,36,2254,0.03644155281938528,0.014812334841584125,0.1333313753102463,0.5555555555555556,1.5808471135403477,0.11391299913401864,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm_size_liq,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M+size+liquidity,3m,34,2120,0.04911584852730912,0.031424837356733466,0.1090250771899898,0.6470588235294118,1.7952901942095776,0.07260747654016186,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm_size_liq,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M+size+liquidity,6m,31,1919,0.047240441672961535,0.061015839439953666,0.11500362068491209,0.6774193548387096,1.506614636520711,0.13190946351544763,operating_profitability_approx
orthogonalized,operating_profitability_approx__net_bm_size_liq,Operating income / book equity; ROE fallback for financials; orthogonalized to B/M+size+liquidity,12m,25,1528,0.10319005163279912,0.10397622824909974,0.08189923758736127,0.92,4.1451198377891,3.39636040289637e-05,operating_profitability_approx
orthogonalized,gross_profitability__net_bm,Gross profit / total assets; orthogonalized to B/M,1m,36,1664,-0.008847731928754453,-0.023122529644268773,0.15368726038691327,0.4166666666666667,-0.3508968198187914,0.7256657573982264,gross_profitability
orthogonalized,gross_profitability__net_bm,Gross profit / total assets; orthogonalized to B/M,3m,34,1563,-0.011241679997383857,-0.036034255599472986,0.14064734887008115,0.35294117647058826,-0.36506997152260495,0.7150591754796476,gross_profitability
orthogonalized,gross_profitability__net_bm,Gross profit / total assets; orthogonalized to B/M,6m,31,1414,0.0003841875976032805,-0.009749670619235835,0.11547724361458761,0.41935483870967744,0.010235234064552855,0.9918336073491767,gross_profitability
orthogonalized,gross_profitability__net_bm,Gross profit / total assets; orthogonalized to B/M,12m,25,1126,0.009097975460126256,0.005665349143610012,0.0717554480182198,0.64,0.3845911238502718,0.7005403713931684,gross_profitability
orthogonalized,gross_profitability__net_bm_size_liq,Gross profit / total assets; orthogonalized to B/M+size+liquidity,1m,36,1662,0.0021094798125743833,-0.014295125164690382,0.14251573030934742,0.4444444444444444,0.09497414090130127,0.9243353666277561,gross_profitability
orthogonalized,gross_profitability__net_bm_size_liq,Gross profit / total assets; orthogonalized to B/M+size+liquidity,3m,34,1561,-0.000639650104527011,-0.013589409357216945,0.1297937070317504,0.47058823529411764,-0.02354536833927447,0.9812152498016957,gross_profitability
orthogonalized,gross_profitability__net_bm_size_liq,Gross profit / total assets; orthogonalized to B/M+size+liquidity,6m,31,1412,0.010018939587061492,0.022002635046113304,0.10776100913224891,0.5806451612903226,0.3141230242918026,0.7534276030969989,gross_profitability
orthogonalized,gross_profitability__net_bm_size_liq,Gross profit / total assets; orthogonalized to B/M+size+liquidity,12m,25,1124,0.010270612612172738,0.004216073781291172,0.06154398986604936,0.56,1.1423721176959172,0.25329937589188023,gross_profitability
orthogonalized,roe_standalone__net_bm,Net income / book equity or stored ROE; orthogonalized to B/M,1m,49,2399,-0.014290282790320621,-0.02067463265547095,0.2112395076660571,0.40816326530612246,-0.4458566060795933,0.655700829436733,roe_standalone
orthogonalized,roe_standalone__net_bm,Net income / book equity or stored ROE; orthogonalized to B/M,3m,47,2265,-0.037272095453920115,-0.012744748080808143,0.23087531260683689,0.44680851063829785,-0.6707514171851313,0.5023789016671238,roe_standalone
orthogonalized,roe_standalone__net_bm,Net income / book equity or stored ROE; orthogonalized to B/M,6m,44,2064,-0.021871111954814202,0.044459982654105154,0.23625236427959564,0.6136363636363636,-0.3113004739787097,0.7555722069929713,roe_standalone
orthogonalized,roe_standalone__net_bm,Net income / book equity or stored ROE; orthogonalized to B/M,12m,38,1673,-0.004811199972947345,0.03212594812475482,0.21648692625557295,0.6052631578947368,-0.06938085682251434,0.9446864662384677,roe_standalone
orthogonalized,roe_standalone__net_bm_size_liq,Net income / book equity or stored ROE; orthogonalized to B/M+size+liquidity,1m,36,2254,0.023224796007960458,0.012031341256332335,0.13885044466888924,0.5277777777777778,1.01422839904145,0.3104737804945412,roe_standalone
orthogonalized,roe_standalone__net_bm_size_liq,Net income / book equity or stored ROE; orthogonalized to B/M+size+liquidity,3m,34,2120,0.021200173142534074,0.021227113711249086,0.12448710418497484,0.5588235294117647,0.7424393171583749,0.4578212055041768,roe_standalone
orthogonalized,roe_standalone__net_bm_size_liq,Net income / book equity or stored ROE; orthogonalized to B/M+size+liquidity,6m,31,1919,0.00949614007797953,0.01442925134093828,0.10550884316457718,0.5483870967741935,0.2855361499592973,0.7752334129388938,roe_standalone
orthogonalized,roe_standalone__net_bm_size_liq,Net income / book equity or stored ROE; orthogonalized to B/M+size+liquidity,12m,25,1528,0.05810100431151246,0.07306067588325653,0.09807047618969768,0.68,1.7465703445700589,0.08071189504078236,roe_standalone
orthogonalized,roa_standalone__net_bm,Net income / total assets or stored ROA; orthogonalized to B/M,1m,49,2399,-0.0004871126330494931,0.004658658809901539,0.23707737385837585,0.5306122448979592,-0.015364970051769811,0.9877410099754953,roa_standalone
orthogonalized,roa_standalone__net_bm,Net income / total assets or stored ROA; orthogonalized to B/M,3m,47,2265,-0.03218829325142038,0.006018483543602528,0.25347137285594906,0.5106382978723404,-0.5258154371431085,0.599016447713471,roa_standalone
orthogonalized,roa_standalone__net_bm,Net income / total assets or stored ROA; orthogonalized to B/M,6m,44,2064,-0.01730608796258132,0.04847993202681082,0.2749291371540077,0.5909090909090909,-0.20826971348101542,0.8350183782623832,roa_standalone
orthogonalized,roa_standalone__net_bm,Net income / total assets or stored ROA; orthogonalized to B/M,12m,38,1673,0.011603880704191688,0.08173428017425902,0.21898056911926095,0.8157894736842105,0.17468874570609344,0.8613242114215207,roa_standalone
orthogonalized,roa_standalone__net_bm_size_liq,Net income / total assets or stored ROA; orthogonalized to B/M+size+liquidity,1m,36,2254,0.0327282282777551,0.013448604637357107,0.11484366189678324,0.6111111111111112,1.7058196829766192,0.08804165725322033,roa_standalone
orthogonalized,roa_standalone__net_bm_size_liq,Net income / total assets or stored ROA; orthogonalized to B/M+size+liquidity,3m,34,2120,0.03328212235883819,0.01577797202797203,0.10759262369725732,0.5588235294117647,1.2041585552056109,0.22852830133335278,roa_standalone
orthogonalized,roa_standalone__net_bm_size_liq,Net income / total assets or stored ROA; orthogonalized to B/M+size+liquidity,6m,31,1919,0.04388061195121992,0.07422161172161171,0.09762921023093042,0.6451612903225806,1.8733196023961742,0.061024264579705,roa_standalone
orthogonalized,roa_standalone__net_bm_size_liq,Net income / total assets or stored ROA; orthogonalized to B/M+size+liquidity,12m,25,1528,0.07593188750758603,0.07929792752637808,0.06451146397031542,0.88,3.8072233767945853,0.00014053579773687375,roa_standalone
orthogonalized,accrual_quality__net_bm,-(Net income - CFO) / assets; orthogonalized to B/M,1m,49,2363,-0.021167830872485652,-0.0030220126148112554,0.25164944059924876,0.4897959183673469,-0.6503547312692916,0.5154631112409669,accrual_quality
orthogonalized,accrual_quality__net_bm,-(Net income - CFO) / assets; orthogonalized to B/M,3m,47,2231,-0.03176804846813156,0.016782439566546264,0.26584559308262135,0.574468085106383,-0.5427470916983304,0.5873039459522706,accrual_quality
orthogonalized,accrual_quality__net_bm,-(Net income - CFO) / assets; orthogonalized to B/M,6m,44,2033,0.0018588004447382795,0.0946853516657853,0.2545893394814731,0.6590909090909091,0.02472885206166277,0.9802712414964341,accrual_quality
orthogonalized,accrual_quality__net_bm,-(Net income - CFO) / assets; orthogonalized to B/M,12m,38,1648,0.001325553831841986,0.06938127974616604,0.2474676962064051,0.6842105263157895,0.015097048347496447,0.9879547557719979,accrual_quality
orthogonalized,accrual_quality__net_bm_size_liq,-(Net income - CFO) / assets; orthogonalized to B/M+size+liquidity,1m,36,2218,0.02743693360163001,0.016191190200045974,0.11775774225032495,0.5555555555555556,1.3614049020960477,0.17338576781334414,accrual_quality
orthogonalized,accrual_quality__net_bm_size_liq,-(Net income - CFO) / assets; orthogonalized to B/M+size+liquidity,3m,34,2086,0.07007988236495982,0.03929741757881765,0.13303111028678422,0.7058823529411765,2.539737822440568,0.011093559412731047,accrual_quality
orthogonalized,accrual_quality__net_bm_size_liq,-(Net income - CFO) / assets; orthogonalized to B/M+size+liquidity,6m,31,1888,0.08171779919394899,0.09354395604395603,0.10806159364913522,0.7741935483870968,2.7003623292966554,0.006926399678912176,accrual_quality
orthogonalized,accrual_quality__net_bm_size_liq,-(Net income - CFO) / assets; orthogonalized to B/M+size+liquidity,12m,25,1503,0.12558634130898652,0.13188789000528817,0.07788948057493733,0.92,4.6154173355464385,3.923061719035559e-06,accrual_quality
orthogonalized,piotroski_lite__net_bm,Existing PIT Piotroski-lite score; orthogonalized to B/M,1m,49,2399,-0.021869103595060568,0.017293581027684322,0.22014739749818651,0.5102040816326531,-0.6618515887074803,0.5080663401625001,piotroski_lite
orthogonalized,piotroski_lite__net_bm,Existing PIT Piotroski-lite score; orthogonalized to B/M,3m,47,2265,-0.05426033331216426,-0.019857480930885716,0.24918048091018224,0.46808510638297873,-1.08157100214675,0.27944319536141204,piotroski_lite
orthogonalized,piotroski_lite__net_bm,Existing PIT Piotroski-lite score; orthogonalized to B/M,6m,44,2064,-0.049249310596710956,-0.003906589562786443,0.20270179295855,0.5,-0.9241204360141423,0.35542361440846637,piotroski_lite
orthogonalized,piotroski_lite__net_bm,Existing PIT Piotroski-lite score; orthogonalized to B/M,12m,38,1673,-0.037137150285510456,-0.02665575422653312,0.18086605245518816,0.4473684210526316,-0.635090838817547,0.5253691716204971,piotroski_lite
orthogonalized,piotroski_lite__net_bm_size_liq,Existing PIT Piotroski-lite score; orthogonalized to B/M+size+liquidity,1m,36,2254,-0.004839894590403927,-0.012650310923372321,0.14050930832965391,0.4722222222222222,-0.18638903404193355,0.8521396913178989,piotroski_lite
orthogonalized,piotroski_lite__net_bm_size_liq,Existing PIT Piotroski-lite score; orthogonalized to B/M+size+liquidity,3m,34,2120,-0.0049329240965020164,-0.009795491343462288,0.14296446657566514,0.4411764705882353,-0.13035550811515878,0.8962851655415502,piotroski_lite
