symbol,as_of_date,fair_value,close,valuation_gap,usable_model_count,confidence_score,warnings
SNA,2025-09-30,,124.0,,2,0.5066979844847888,residual_income_severe_book_value_quality_warning;ic_weight_fallback_for_uncovered_models;headline_review_required_extreme_upside;headline_review_weak_model_coverage;headline_review_weak_method_class_agreement;headline_review_lone_thin_comp
SNP,2025-09-30,,550.0,,0,,no_usable_valuation_models
SRM,2025-09-30,,539.7,,2,0.37249999999999994,ic_weight_fallback_for_uncovered_models;headline_review_required_extreme_upside;headline_review_weak_model_coverage;headline_review_weak_method_class_agreement
STR,2025-09-30,,202.8,,3,0.7112529806227509,ic_weight_fallback_for_uncovered_models;headline_review_required_extreme_upside;headline_review_weak_model_coverage
TGC,2025-09-30,242.27930252422715,910.0,-0.7337590082151351,5,0.9598629380446364,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
TMA,2025-09-30,407.8313945257921,1785.0,-0.7715230282768671,5,0.8842910319447825,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
TQM,2025-09-30,,2350.0,,0,,no_usable_valuation_models
VCN,2025-09-30,,450.0,,0,,no_usable_valuation_models
WAA,2025-09-30,,5000.0,,0,,no_usable_valuation_models
ZDJ,2025-09-30,,216.55,,2,0.6219485576614932,fcff_dcf_severe_fcf_quality_warning;fcfe_dcf_severe_fcf_quality_warning;ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias;headline_review_required_extreme_upside;headline_review_weak_model_coverage;headline_review_lone_thin_comp
ADH,2025-12-31,35.27851668944098,35.98,-0.019496478892690905,3,0.683146199888544,ic_weight_fallback_for_uncovered_models
ADI,2025-12-31,225.4893857147687,530.0,-0.574548328840059,5,0.9503537665890627,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
AFI,2025-12-31,312.96711592980864,337.0,-0.07131419605398026,5,0.9520429875919421,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
AFM,2025-12-31,456.32260368922573,1225.0,-0.627491752090428,3,0.8402428992828577,justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
AGM,2025-12-31,3256.888420688795,6335.0,-0.4858897520617529,4,0.9115074872011131,ic_weight_fallback_for_uncovered_models
AKT,2025-12-31,533.643947604684,1180.0,-0.5477593664367085,4,0.8711962851462669,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;ic_weight_fallback_for_uncovered_models
ALM,2025-12-31,744.8357778882291,1798.0,-0.5857420590165578,3,0.8258028104816237,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;justified_multiples_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias
ARD,2025-12-31,188.21733992099593,420.0,-0.5518634763785811,3,0.7048010528509008,ic_weight_fallback_for_uncovered_models
ATH,2025-12-31,40.45841657121281,93.9,-0.5691329438635484,2,0.43999999999999995,fcff_dcf_terminal_value_dominates_dcf;ddm_terminal_value_dominates_dcf;ic_weight_fallback_for_uncovered_models
ATL,2025-12-31,,150.0,,0,,no_usable_valuation_models
ATW,2025-12-31,439.3377909029272,730.1,-0.39824984125061336,3,0.7920412337688887,ic_weight_fallback_for_uncovered_models
BAL,2025-12-31,79.07463052039402,250.0,-0.6837014779184238,4,0.6570717463541447,ic_weight_fallback_for_uncovered_models
BCI,2025-12-31,455.8486441115405,630.0,-0.27643072363247534,3,0.6514077799977447,ic_weight_fallback_for_uncovered_models
BCP,2025-12-31,255.73963912575942,290.0,-0.11813917542841579,3,0.6646916055696553,ic_weight_fallback_for_uncovered_models
BOA,2025-12-31,227.88187970181787,225.0,0.012808354230301688,3,0.7318674749102965,ic_weight_fallback_for_uncovered_models
CAP,2025-12-31,,307.0,,0,,no_usable_valuation_models
CDM,2025-12-31,881.369230590919,1039.0,-0.15171392628400482,3,0.7665087066678109,ic_weight_fallback_for_uncovered_models
CFG,2025-12-31,74.31574438044018,245.0,-0.6966704311002442,3,0.8216943051565715,ic_weight_fallback_for_uncovered_models
CIH,2025-12-31,267.3698541890163,415.0,-0.35573529111080415,3,0.8366476284333502,ic_weight_fallback_for_uncovered_models
CMG,2025-12-31,130.99241626155143,369.0,-0.6450070020012156,6,0.7859092042915105,ic_weight_fallback_for_uncovered_models
CMT,2025-12-31,800.6541055806766,1791.0,-0.5529569483078299,3,0.8589561017192138,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;ddm_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models;headline_review_shared_input_bias
COL,2025-12-31,42.10740522700073,85.79,-0.5091804962466403,4,0.6873965864807002,fcff_dcf_severe_fcf_quality_warning;fcfe_dcf_severe_fcf_quality_warning;ic_weight_fallback_for_uncovered_models
CRS,2025-12-31,38.03624805746075,34.28,0.10957549759220386,2,0.43999999999999995,ic_weight_fallback_for_uncovered_models
CSR,2025-12-31,104.41291011502433,203.5,-0.486914446609217,6,0.8173628880890678,ic_weight_fallback_for_uncovered_models
CTM,2025-12-31,1155.107978323329,905.0,0.2763624069871038,3,0.8336846794904496,fcff_dcf_terminal_value_dominates_dcf;fcfe_dcf_terminal_value_dominates_dcf;residual_income_excluded_cross_model_outlier;ic_weight_fallback_for_uncovered_models
