method,fold,fwd_horizon,n,utility_mean,utility_sum,ic,ic_tstat,hit_rate,coverage,cost_bps,train_start,train_end,test_start,test_end
ridge_linear,4,10,11727,0.008240585368079048,96.63734461146299,0.061326230432061785,5.046227900665954,0.51630615640599,0.5124925385861687,10.0,2002-03-04,2022-05-13,2022-05-30,2026-04-27
isotonic_calibrated,4,10,11727,0.011067284269923568,129.7860426333937,0.04336084313979832,3.2075054965166356,0.5113335295849278,0.8690202097723203,10.0,2002-03-04,2022-05-13,2022-05-30,2026-04-27
topsis_category,4,10,11727,0.007051982275493374,82.69859614471079,0.036379390315499784,2.6004638360118357,0.4953381483913329,0.6493561865779824,10.0,2002-03-04,2022-05-13,2022-05-30,2026-04-27
topsis_action,4,10,11727,0.007366343676865555,86.38511229860237,0.05149155405804218,3.795350754690444,0.5127771196479946,0.5038799351922912,10.0,2002-03-04,2022-05-13,2022-05-30,2026-04-27
ahp_topsis_prior,4,10,11727,0.008323074409840253,97.60469360419665,0.039134013348501584,2.797828696290795,0.5018583042973287,0.734203121002814,10.0,2002-03-04,2022-05-13,2022-05-30,2026-04-27
baseline_fixed,0,15,1086,0.008656556143615945,9.401019971966916,-0.10571710971593988,-1.413374962129079,0.516256157635468,0.934622467771639,10.0,2002-03-04,2002-09-30,2002-10-25,2007-04-27
threshold_optimized,0,15,1086,0.018338545708103945,19.915660639000883,-0.10571710971593988,-1.413374962129079,0.6066863323500492,0.93646408839779,10.0,2002-03-04,2002-09-30,2002-10-25,2007-04-27
ridge_linear,0,15,1086,0.004826719792370211,5.241817694514049,-0.043535931255070014,-0.5778897571266605,0.5174953959484346,1.0,10.0,2002-03-04,2002-09-30,2002-10-25,2007-04-27
isotonic_calibrated,0,15,1086,0.01720579676144713,18.685495282931583,-0.07204643559712114,-0.9645740552218101,0.5920444033302498,0.9953959484346224,10.0,2002-03-04,2002-09-30,2002-10-25,2007-04-27
topsis_category,0,15,1086,0.002053752983069795,2.2303757396137973,-0.013309376186430955,-0.1803714132163894,0.4956689124157844,0.9567219152854513,10.0,2002-03-04,2002-09-30,2002-10-25,2007-04-27
topsis_action,0,15,1086,0.0036799868008394548,3.9964656657116477,-0.053121527006222455,-0.7284676553079956,0.5134575569358178,0.4447513812154696,10.0,2002-03-04,2002-09-30,2002-10-25,2007-04-27
ahp_topsis_prior,0,15,1086,-0.015858014138476102,-17.22180335438505,-0.009275562460649865,-0.1260225716721375,0.40239410681399634,1.0,10.0,2002-03-04,2002-09-30,2002-10-25,2007-04-27
baseline_fixed,1,15,1908,5.6746520212172915e-05,0.10827236056482592,-0.008530927962044825,-0.14545861425338805,0.4988662131519274,0.9245283018867925,10.0,2002-03-04,2007-04-06,2007-04-30,2011-03-25
threshold_optimized,1,15,1908,0.003150611870723504,6.011367449340446,-0.008530927962044825,-0.14545861425338805,0.5337726523887973,0.9544025157232704,10.0,2002-03-04,2007-04-06,2007-04-30,2011-03-25
