document_id,tagged_symbol,actual_company_name,document_title,source_url,publication_date,fiscal_year
75,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : Résultats financiers 2022 et CP RFA 2022,https://media.casablanca-bourse.com/sites/default/files/2023-05/s2m_rfa_22.pdf,2023-05-02,2022
77,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M: Rapport financier annuel 2022,https://media.casablanca-bourse.com/sites/default/files/2023-08/s2m_rfa_2022.pdf,2023-04-28,2022
78,REB,MAGHREBAIL,MAB: Rapport financier annuel 2022,https://media.casablanca-bourse.com/sites/default/files/2023-08/maghrebail_rfa_2022.pdf,2023-04-28,2022
112,REB,MAGHREBAIL,MAB : Résultats financiers 2022 et CP RFA 2022,https://media.casablanca-bourse.com/sites/default/files/2023-05/mab_rfa_22.pdf,2023-05-02,2022
233,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,PRO: Rapport financier annuel 2022,https://media.casablanca-bourse.com/sites/default/files/2023-08/promopharm_rfa_2022.pdf,2023-04-28,2022
360,REB,MAGHREB OXYGENE,Maghreb Oxygène : CP financier relatif aux résultats 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/CP_MOX_2022_fr.pdf,2023-02-23,2022
660,REB,MAGHREBAIL,Maghrebail : CP financier relatif aux résultats 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/CP_Maghrebail_2022CP_Maghrebail_2022_fr.pdf,2023-03-17,2022
674,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : CP relatif aux indicateurs du 3ème trimestre 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/CP_Promopharm_T3_22_fr.pdf,2022-11-30,2022
755,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : CP financier relatif aux résultats 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/CP_PRO_22_fr.pdf,2023-03-31,2022
759,REB,SOCIETE DE PROMOTION PHARMACEUTIQUE DU MAGHREB S.A,Promopharm : CP relatif aux indicateurs du 4ème trimestre 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/PRO/fr/CP-Promopharm-T4-2022_fr.pdf,2023-02-28,2022
1027,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : CP financier relatif aux résultats 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/CP_S2M_22_fr.pdf,2023-04-03,2022
1037,REB,SOCIETE MAGHREBINE DE MONETIQUE,S2M : CP relatif aux indicateurs du 4ème trimestre 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/S2M/fr/CP_S2M_T4_22_fr.pdf,2023-02-28,2022
1040,REB,MAGHREBAIL,Maghrebail : CP relatif aux indicateurs du 4ème trimestre 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/CP-Maghrebail-T4-2022_fr.pdf,2023-02-28,2022
1049,REB,MAGHREB OXYGENE,Maghreb Oxygène : CP relatif aux indicateurs du 4ème trimestre 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/CP_MOX_T4_22_fr.pdf,2023-02-23,2022
1056,REB,MAGHREB OXYGENE,Maghreb Oxygène : CP relatif aux indicateurs du 3ème trimestre 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MOX/fr/CP_MOX_T3_22_fr.pdf,2022-11-30,2022
1070,REB,MAGHREBAIL,Maghrebail : CP relatif aux indicateurs du 1er trimestre 2022,https://media.casablanca-bourse.com/sites/default/files/BourseWeb/Documents/MAB/fr/CP_Maghrebail_T1_22_fr.pdf,2022-05-26,2022
